TYPE,CATEGORY,NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,COUNTY,desc,STRATEGIC VALUE,ECONOMIC IMPACT,PHYSICAL IMPACT,SYSTEMIC IMPACT,PHYSICAL IMPACT RADIUS (mi),ZIPS AFFECTED,OCCUPIED HOUSING UNITS,POPULATION AFFECTED,RAW_IMPACT
State Emergency Operations Center,Emergency Services,Texas Division Of Emergency Management,30.3268,-97.7256,5805 North Lamar Boulevard,Austin,TX,78752,Travis County,"This facility houses the Texas Division of Emergency Management. That organization is responsible for coordinating state emergency management programs and, in the event of a disaster, the state-wide response. For more information, visit https://tdem.texas.gov/about or call (512) 424-2138.",0,0,0,1,0,,,,4
Local Emergency Operations Center,Emergency Services,City Of Trinity Emergency Operations Center,30.9435894,-95.3759728,201 South Elm Street,Trinity,TX,75862,Trinity County,This local emergency operations center services Trinity. It can be reached at 936-594-2506.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Concho County Emergency Operations Center,31.5084444,-99.9196039,152 South Roberts Avenue,Paint Rock,TX,76866,Concho County,This county-level emergency operations center services Concho County. It can be reached at 325-657-4312.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Abernathy Emergency Operations Center,33.8320556,-101.8438618,407 9Th Street,Abernathy,TX,79311,Hale County,This local emergency operations center services Abernathy. It can be reached at 806-298-2233.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Sweeny City Emergency Operations Center,29.0387911,-95.6996694,222 Pecan Street,Sweeny,TX,77480,Brazoria County,This local emergency operations center services Sweeny. It can be reached at 979-548-3325.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hughes Springs Emergency Operations Center,32.9971683,-94.6254885,603 East 1St Street,Hughes Springs,TX,75656,Cass County,This local emergency operations center services Hughes Springs. It can be reached at 903-639-3716.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Brewster County Emergency Operations Center,30.3579309,-103.6593458,208 East Holland Avenue,ALPine,TX,79830,Brewster County,This county-level emergency operations center services Brewster County. It can be reached at 432-837-9876.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Plano Emergency Operations Center,33.0422461,-96.7723349,4125 West Parker Road,Plano,TX,75093,Collin County,This local emergency operations center services Plano. It can be reached at 972-941-5551.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Lamar County Emergency Operations Center,33.6624928,-95.556628,Mobile Unit,Paris,TX,75460,Lamar County,This county-level emergency operations center services Lamar County. It can be reached at 903-737-2410.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Austin Emergency Operations Center-Mobile,30.3120191,-97.7677162,Mobile Unit,Austin,TX,78723,Travis County,This local emergency operations center services Austin. It can be reached at 512-974-0450.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Bosque County Emergency Operations Center,31.9233766,-97.6573441,110 North Main Street,Meridian,TX,76665,Bosque County,This county-level emergency operations center services Bosque County. It can be reached at 254-435-2807.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Texline Emergency Operations Center-Alternate,36.3766552,-103.0199054,East Chestnut Street And South 3Rd Street,Texline,TX,79087,Dallam County,This local emergency operations center services Texline. It can be reached at 806-362-4849.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Caldwell County Emergency Operations Center,29.87596,-97.6541161,1204 Reed Drive,Lockhart,TX,78644,Caldwell County,This county-level emergency operations center services Caldwell County. It can be reached at 512-398-1822.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Collingsworth County Emergency Operations Center,34.8553673,-100.2107042,810 Belton Street,Wellington,TX,79095,Collingsworth County,This county-level emergency operations center services Collingsworth County. It can be reached at 806-447-2588.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Burleson County Emergency Operations Center,30.5461402,-96.6825643,1334 State Highway 21 East,Caldwell,TX,77836,Burleson County,This county-level emergency operations center services Burleson County. It can be reached at 979-567-4343.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Live Oak County Emergency Operations Center,28.3355119,-98.1087963,200 Larry R Busby Drive,George West,TX,78022,Live Oak County,This county-level emergency operations center services Live Oak County. It can be reached at 361-449-2271.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hudspeth County Emergency Operations Center,31.1798361,-105.3575486,109 West Millican Street,Sierra Blanca,TX,79851,Hudspeth County,This county-level emergency operations center services Hudspeth County. It can be reached at 915-369-2321.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Jasper / Newton / Sabine Counties Emergency Operations Center,30.9066089,-94.0209744,210 Premier Drive,Jasper,TX,75951,Jasper County,This local emergency operations center services Jasper. It can be reached at 409-383-0149.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Mercedes Emergency Operations Center-Alternate,26.1477332,-97.9118436,400 South Ohio Avenue,Mercedes,TX,78570,Hidalgo County,This local emergency operations center services Mercedes. It can be reached at 956-565-3114.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Freestone County Emergency Operations Center,31.7260222,-96.1597122,103 South Keechi Street,Fairfield,TX,75840,Freestone County,This county-level emergency operations center services Freestone County. It can be reached at 903-389-3236.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Luling Emergency Operations Center,29.6800903,-97.6501305,115 South Pecan Avenue,Luling,TX,78648,Caldwell County,This local emergency operations center services Luling. It can be reached at 830-875-2412.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Colorado County Emergency Operations Center,29.7019894,-96.5741268,305 Radio Lane,Columbus,TX,78934,Colorado County,This county-level emergency operations center services Colorado County. It can be reached at 979-732-2188.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Rosenberg Emergency Operations Center,29.5458833,-95.8061103,2120 4Th Street,Rosenberg,TX,77471,Fort Bend County,This local emergency operations center services Rosenberg. It can be reached at 832-595-3700.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Val Verde County Emergency Operations Center,29.3742579,-100.8468532,295 Farm To Market 2523,Del Rio,TX,78840,Val Verde County,This county-level emergency operations center services Val Verde County. It can be reached at 830-774-7513.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Walker County Emergency Operations Center,30.7380018,-95.5708973,717 Farm To Market 2821 Road West,Huntsville,TX,77320,Walker County,This county-level emergency operations center services Walker County. It can be reached at 936-435-2400.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Brenham City / Washington County Emergency Operations Center,30.1692829,-96.3909475,101 North Chappell Hill Street,Brenham,TX,77833,Washington County,This county-level emergency operations center services Washington County. It can be reached at 979-337-7300.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,North Richland Hills Emergency Operations Center,32.8383991,-97.2254564,7301 Northeast Loop 820,North Richland Hills,TX,76180,Tarrant County,This local emergency operations center services North Richland Hills. It can be reached at 817-427-7000.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Brownwood - Brown County Emergency Operations Center,31.7252671,-99.0042152,1050 West Commerce Street,Brownwood,TX,76801,Brown County,This county-level emergency operations center services Brown County. It can be reached at 325-646-2525.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Throckmorton County Emergency Operations Center,33.1789175,-99.1777616,105 North Minter Avenue,Throckmorton,TX,76483,Throckmorton County,This county-level emergency operations center services Throckmorton County. It can be reached at 940-849-3081.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Uvalde County Emergency Operations Center,29.2193307,-99.7444478,201 Sul Ross Drive,Uvalde,TX,78801,Uvalde County,This county-level emergency operations center services Uvalde County. It can be reached at 830-278-1218.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Comal County Emergency Operations Center,29.6806727,-98.151036,3005 West San Antonio Street,New Braunfels,TX,78130,Comal County,This county-level emergency operations center services Comal County. It can be reached at 830-620-3400.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of El Campo Emergency Operations Center,29.1987018,-96.2672548,315 East Jackson Street,El Campo,TX,77437,Wharton County,This local emergency operations center services El Campo. It can be reached at 979-541-5000.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Wood County Emergency Operations Center-Alternate,32.7930895,-95.453621,402 South Stephens Street,Quitman,TX,75783,Wood County,This county-level emergency operations center services Wood County. It can be reached at 903-763-5461.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Rio Hondo Emergency Operations Center,26.2364464,-97.5839451,121 North Arroyo Boulevard,Rio Hondo,TX,78583,Cameron County,This local emergency operations center services Rio Hondo. It can be reached at 956-748-2102.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Cass County Emergency Operations Center-Mobile,33.0186882,-94.3758323,600 State Highway 8 North,Linden,TX,75563,Cass County,This county-level emergency operations center services Cass County. It can be reached at 903-756-7511.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Cass County Emergency Operations Center,33.0186843,-94.3758234,600 State Highway 8 North,Linden,TX,75563,Cass County,This county-level emergency operations center services Cass County. It can be reached at 903-756-7511.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Presidio County Emergency Operations Center,30.3135533,-104.0208898,320 North Highland Street,Marfa,TX,79843,Presidio County,This county-level emergency operations center services Presidio County. It can be reached at 432-729-4308.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Red River Emergency Operations Center,33.6140071,-95.0520756,500 North Cedar Street,Clarksville,TX,75426,Red River County,This local emergency operations center services Clarksville. It can be reached at 903-427-3838.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Aransas Pass Emergency Operations Center,27.9104402,-97.1496474,600 West Cleveland Boulevard,Aransas Pass,TX,78336,San Patricio County,This local emergency operations center services Aransas Pass. It can be reached at 361-758-5301.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Ingleside Emergency Operations Center,27.8679499,-97.2148112,2425 8Th Street,Ingleside,TX,78362,San Patricio County,This local emergency operations center services Ingleside. It can be reached at 361-776-7422.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Willacy County Emergency Operations Center,26.4825919,-97.788029,192 North 3Rd Street,Raymondville,TX,78580,Willacy County,This county-level emergency operations center services Willacy County. It can be reached at 956-689-3393.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Trinity County Emergency Operations Center,31.0558025,-95.1263771,162 West 1St Street,Groveton,TX,75845,Trinity County,This county-level emergency operations center services Trinity County. It can be reached at 936-642-0250.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Reagan County Emergency Operations Center,31.1922446,-101.460867,207 North Plaza Avenue,Big Lake,TX,76932,Reagan County,This county-level emergency operations center services Reagan County. It can be reached at 325-884-3650.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Snyder/Scurry County Emergency Operations Center,32.7153378,-100.9192947,1911 27Th Street,Snyder,TX,79549,Scurry County,This county-level emergency operations center services Scurry County. It can be reached at 325-573-6215.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Terry County Emergency Operations Center,33.1800011,-102.2796882,120 North 5Th Street,Brownfield,TX,79316,Terry County,This county-level emergency operations center services Terry County. It can be reached at 806-637-4514.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Wills Point Emergency Operations Center,32.7087524,-96.0089191,120 North 5Th Street,Wills Point,TX,75169,Van Zandt County,This local emergency operations center services Wills Point. It can be reached at 903-873-2578.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Brazos County Emergency Operations Center,30.6742561,-96.3736217,110 North Main Street,Bryan,TX,77803,Brazos County,This county-level emergency operations center services Brazos County. It can be reached at 979-821-1010.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Childress County Emergency Operations Center,34.4230841,-100.193789,1005 Avenue F Northeast,Childress,TX,79201,Childress County,This county-level emergency operations center services Childress County. It can be reached at 940-937-2535.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Dallas County Emergency Operations Center,32.7792577,-96.8074983,509 Main Street,Dallas,TX,75202,Dallas County,This county-level emergency operations center services Dallas County. It can be reached at 214-653-7972.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Highland Park Emergency Operations Center,32.8284124,-96.7966003,4700 Drexel Drive,Highland Park,TX,75205,Dallas County,This local emergency operations center services Highland Park. It can be reached at 214-521-5000.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Balch Springs Emergency Operations Center,32.7271873,-96.6231997,3117 Hickory Tree Road,Balch Springs,TX,75180,Dallas County,This local emergency operations center services Balch Springs. It can be reached at 972-557-6070.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Irving Emergency Operations Center-Mobile,32.8896708,-96.9347681,5992 Riverside Drive,Irving,TX,75039,Dallas County,This local emergency operations center services Irving. It can be reached at 972-721-7803.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Mesquite Emergency Operations Center,32.7733801,-96.6003586,711 North Galloway Avenue,Mesquite,TX,75149,Dallas County,This local emergency operations center services Mesquite. It can be reached at 972-216-6317.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Duncanville Emergency Operations Center,32.6311139,-96.9079208,1530 South Main Street,Duncanville,TX,75137,Dallas County,This local emergency operations center services Duncanville. It can be reached at 972-780-4920.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Irving Emergency Operations Center,32.8141888,-96.9538826,801 West Irving Boulevard,Irving,TX,75060,Dallas County,This local emergency operations center services Irving. It can be reached at 972-721-2639.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Coryell County Emergency Operations Center-Alternate,31.4335334,-97.7509023,510 Leon Street,Gatesville,TX,76528,Coryell County,This county-level emergency operations center services Coryell County. It can be reached at 254-865-7201.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Dawson County Emergency Operations Center,32.7312943,-101.9544232,601 South 1St Street,Lamesa,TX,79331,Dawson County,This county-level emergency operations center services Dawson County. It can be reached at 806-872-2124.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Cottle County Emergency Operations Center,34.0139576,-100.3013701,811 9Th Street,Paducah,TX,79248,Cottle County,This county-level emergency operations center services Cottle County. It can be reached at 806-492-3613.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hutchins Emergency Operations Center-Alternate,32.649713,-96.7136845,321 North Main Street,Hutchins,TX,75141,Dallas County,This local emergency operations center services Hutchins. It can be reached at 972-225-6121.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Richardson Emergency Operations Center,32.9595554,-96.7313175,411 West Arapaho Road,Richardson,TX,75080,Dallas County,This local emergency operations center services Richardson. It can be reached at 972-744-4100.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Van Zandt County Emergency Operations Center,32.5562109,-95.8630282,121 East Dallas Street,Canton,TX,75103,Van Zandt County,This county-level emergency operations center services Van Zandt County. It can be reached at 903-567-4071.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Victoria County Emergency Operations Center,28.804619,-97.0033419,700 North Main Street,Victoria,TX,77901,Victoria County,This county-level emergency operations center services Victoria County. It can be reached at 361-485-3362.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Grand Prairie Emergency Operations Center,32.7473579,-97.0058634,206 West Church Street,Grand Prairie,TX,75050,Dallas County,This local emergency operations center services Grand Prairie. It can be reached at 972-237-8131.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Howard County Emergency Operations Center-Alternate,32.2529562,-101.4734391,307 East 4Th Street,Big Spring,TX,79720,Howard County,This county-level emergency operations center services Howard County. It can be reached at 432-264-2595.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Kent County Emergency Operations Center,33.2475286,-100.5733012,101 North Main Street,Jayton,TX,79528,Kent County,This county-level emergency operations center services Kent County. It can be reached at 806-237-3801.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Hill County Emergency Management,32.0052913,-97.1440827,406 West Hall Street,Hillsboro,TX,76645,Hill County,This county-level emergency operations center services Hill County. It can be reached at 254-582-5313.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Victoria County Emergency Operations Center-Alternate,28.800279,-97.0085054,101 North Glass Street,Victoria,TX,77901,Victoria County,This county-level emergency operations center services Victoria County. It can be reached at 361-575-0651.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Port Arthur Emergency Operations Center,29.8719484,-93.9333062,300 Waco Avenue,Port Arthur,TX,77640,Jefferson County,This local emergency operations center services Port Arthur. It can be reached at 409-983-8740.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Pecos County Emergency Operations Center,30.889437,-102.8820976,310 West 5Th Street,Fort Stockton,TX,79735,Pecos County,This county-level emergency operations center services Pecos County. It can be reached at 432-336-3062.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Shackelford County Emergency Operations Center,32.7227362,-99.2965223,225 South Main Street,Albany,TX,76430,Shackelford County,This county-level emergency operations center services Shackelford County. It can be reached at 325-762-2232.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Ochiltree County Emergency Operations Center-Alternate,36.3946696,-100.801771,21 Southeast 6Th Avenue,Perryton,TX,79070,Ochiltree County,This county-level emergency operations center services Ochiltree County. It can be reached at 806-435-8000.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Real County Emergency Operations Center,29.7249414,-99.7701334,420 Ranch Road 337 West,Leakey,TX,78873,Real County,This county-level emergency operations center services Real County. It can be reached at 830-232-4005.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Rockwall County Emergency Operations Center,32.9207454,-96.4547748,972 T L Townsend Drive,Rockwall,TX,75087,Rockwall County,This county-level emergency operations center services Rockwall County. It can be reached at 972-882-0300.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Jeff Davis County Emergency Operations Center-Alternate,30.588474,-103.8951646,100 Court Avenue,Fort Davis,TX,79734,Jeff Davis County,This county-level emergency operations center services Jeff Davis County. It can be reached at 432-426-3968.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Cleburne Emergency Management Operations Center-Alternate,32.3477266,-97.3838776,10 North Robinson Street,Cleburne,TX,76031,Johnson County,This local emergency operations center services Cleburne. It can be reached at 817-645-0908.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Jim Hogg County Emergency Operations Center,27.3062923,-98.6764306,211 East Galbraith Street,Hebbronville,TX,78361,Jim Hogg County,This county-level emergency operations center services Jim Hogg County. It can be reached at 361-527-3389.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Swisher County Emergency Operations Center,34.5367452,-101.7634997,136 East Broadway Avenue,Tulia,TX,79088,Swisher County,This county-level emergency operations center services Swisher County. It can be reached at 806-995-3326.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Terrell County Emergency Operations Center,30.1434263,-102.3946699,105 East Hackberry Street,Sanderson,TX,79848,Terrell County,This county-level emergency operations center services Terrell County. It can be reached at 432-345-2421.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Waller County Emergency Operations Center,30.1023907,-96.075386,701 Calvit Street,Hempstead,TX,77445,Waller County,This county-level emergency operations center services Waller County. It can be reached at 979-826-8282.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Jones County Emergency Operations Center,32.7564524,-99.896805,1100 12Th Street,Anson,TX,79501,Jones County,This county-level emergency operations center services Jones County. It can be reached at 325-823-4604.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,City Of Shamrock Emergency Operations Center,35.2178313,-100.2488153,400 North Main Street,Shamrock,TX,79079,Wheeler County,This local emergency operations center services Shamrock. It can be reached at 806-256-3542.,0,0,0,1,0,,,,1
Local Emergency Operations Center,Emergency Services,Olney Fire Department,33.3693448,-98.7537397,100 East Hamilton Street,Olney,TX,76374,Young County,This local emergency operations center services Olney. It can be reached at 940-564-2323.,0,0,0,1,0,,,,1
